date of birth,number of people,Date
"1909_03_02",1,1909-03-02
"1909_03_03",4,1909-03-03
"1909_03_04",2,1909-03-04
"1909_03_05",5,1909-03-05
"1909_03_06",1,1909-03-06
"1909_03_07",7,1909-03-07
"1909_03_08",4,1909-03-08
"1909_03_09",5,1909-03-09
"1909_03_11",3,1909-03-11
"1909_03_12",8,1909-03-12
"1909_03_13",5,1909-03-13
"1909_03_14",7,1909-03-14
"1909_03_15",5,1909-03-15
"1909_03_16",4,1909-03-16
"1909_03_17",4,1909-03-17
"1909_03_18",5,1909-03-18
"1909_03_19",4,1909-03-19
"1909_03_20",5,1909-03-20
"1909_03_21",2,1909-03-21
"1909_03_22",3,1909-03-22
"1909_03_23",3,1909-03-23
"1909_03_24",1,1909-03-24
"1909_03_25",4,1909-03-25
"1909_03_26",3,1909-03-26
"1909_03_27",5,1909-03-27
"1909_03_28",3,1909-03-28
"1909_03_29",6,1909-03-29
"1909_03_30",3,1909-03-30
"1909_03_31",4,1909-03-31
"1909_04_01",6,1909-04-01
"1909_04_02",2,1909-04-02
"1909_04_03",2,1909-04-03
"1909_04_04",5,1909-04-04
"1909_04_05",4,1909-04-05
"1909_04_06",5,1909-04-06
"1909_04_07",8,1909-04-07
"1909_04_08",4,1909-04-08
"1909_04_09",9,1909-04-09
"1909_04_10",1,1909-04-10
"1909_04_11",5,1909-04-11
"1909_04_12",4,1909-04-12
"1909_04_13",2,1909-04-13
"1909_04_14",6,1909-04-14
"1909_04_15",6,1909-04-15
"1909_04_16",5,1909-04-16
"1909_04_17",1,1909-04-17
"1909_04_18",3,1909-04-18
"1909_04_19",1,1909-04-19
"1909_04_20",1,1909-04-20
"1909_04_21",5,1909-04-21
"1909_04_22",2,1909-04-22
"1909_04_23",4,1909-04-23
"1909_04_24",2,1909-04-24
"1909_04_25",3,1909-04-25
"1909_04_26",3,1909-04-26
"1909_04_27",1,1909-04-27
"1909_04_28",3,1909-04-28
"1909_04_29",3,1909-04-29
"1909_05_01",4,1909-05-01
"1909_05_02",2,1909-05-02
"1909_05_03",3,1909-05-03
"1909_05_04",3,1909-05-04
"1909_05_05",1,1909-05-05
"1909_05_06",5,1909-05-06
"1909_05_07",7,1909-05-07
"1909_05_08",7,1909-05-08
"1909_05_09",3,1909-05-09
"1909_05_10",5,1909-05-10
"1909_05_11",3,1909-05-11
"1909_05_12",4,1909-05-12
"1909_05_13",2,1909-05-13
"1909_05_14",2,1909-05-14
"1909_05_15",4,1909-05-15
"1909_05_16",7,1909-05-16
"1909_05_17",2,1909-05-17
"1909_05_18",3,1909-05-18
"1909_05_19",7,1909-05-19
"1909_05_21",4,1909-05-21
"1909_05_22",2,1909-05-22
"1909_05_23",2,1909-05-23
"1909_05_24",4,1909-05-24
"1909_05_25",6,1909-05-25
"1909_05_26",2,1909-05-26
"1909_05_27",5,1909-05-27
"1909_05_28",3,1909-05-28
"1909_05_29",4,1909-05-29
"1909_05_30",3,1909-05-30
"1909_05_31",4,1909-05-31
"1909_06_01",5,1909-06-01
"1909_06_02",5,1909-06-02
"1909_06_03",2,1909-06-03
"1909_06_04",4,1909-06-04
"1909_06_05",4,1909-06-05
"1909_06_06",5,1909-06-06
"1909_06_07",7,1909-06-07
"1909_06_08",3,1909-06-08
"1909_06_09",3,1909-06-09
"1909_06_10",2,1909-06-10
"1909_06_11",6,1909-06-11
"1909_06_12",5,1909-06-12
"1909_06_13",2,1909-06-13
"1909_06_14",4,1909-06-14
"1909_06_15",2,1909-06-15
"1909_06_16",4,1909-06-16
"1909_06_17",3,1909-06-17
"1909_06_18",5,1909-06-18
"1909_06_19",3,1909-06-19
"1909_06_20",2,1909-06-20
"1909_06_21",5,1909-06-21
"1909_06_22",6,1909-06-22
"1909_06_23",2,1909-06-23
"1909_06_24",1,1909-06-24
"1909_06_25",2,1909-06-25
"1909_06_26",4,1909-06-26
"1909_06_27",3,1909-06-27
"1909_06_28",4,1909-06-28
"1909_06_29",4,1909-06-29
"1909_06_30",5,1909-06-30
"1909_07_01",9,1909-07-01
"1909_07_02",3,1909-07-02
"1909_07_03",4,1909-07-03
"1909_07_05",2,1909-07-05
"1909_07_06",3,1909-07-06
"1909_07_07",5,1909-07-07
"1909_07_08",5,1909-07-08
"1909_07_09",4,1909-07-09
"1909_07_10",9,1909-07-10
"1909_07_11",4,1909-07-11
"1909_07_12",1,1909-07-12
"1909_07_13",5,1909-07-13
"1909_07_14",5,1909-07-14
"1909_07_15",5,1909-07-15
"1909_07_16",2,1909-07-16
"1909_07_17",2,1909-07-17
"1909_07_19",1,1909-07-19
"1909_07_20",5,1909-07-20
"1909_07_21",1,1909-07-21
"1909_07_22",4,1909-07-22
"1909_07_23",4,1909-07-23
"1909_07_24",2,1909-07-24
"1909_07_25",7,1909-07-25
"1909_07_26",9,1909-07-26
"1909_07_27",3,1909-07-27
"1909_07_28",4,1909-07-28
"1909_07_29",8,1909-07-29
"1909_07_30",4,1909-07-30
"1909_07_31",4,1909-07-31
"1909_08_01",6,1909-08-01
"1909_08_02",3,1909-08-02
"1909_08_03",2,1909-08-03
"1909_08_05",5,1909-08-05
"1909_08_06",2,1909-08-06
"1909_08_07",2,1909-08-07
"1909_08_08",4,1909-08-08
"1909_08_09",3,1909-08-09
"1909_08_10",8,1909-08-10
"1909_08_11",4,1909-08-11
"1909_08_12",5,1909-08-12
"1909_08_13",5,1909-08-13
"1909_08_14",2,1909-08-14
"1909_08_15",3,1909-08-15
"1909_08_16",4,1909-08-16
"1909_08_17",3,1909-08-17
"1909_08_18",6,1909-08-18
"1909_08_19",1,1909-08-19
"1909_08_20",1,1909-08-20
"1909_08_21",3,1909-08-21
"1909_08_22",2,1909-08-22
"1909_08_23",6,1909-08-23
"1909_08_24",5,1909-08-24
"1909_08_25",5,1909-08-25
"1909_08_26",8,1909-08-26
"1909_08_27",1,1909-08-27
"1909_08_28",4,1909-08-28
"1909_08_29",5,1909-08-29
"1909_08_30",5,1909-08-30
"1909_08_31",2,1909-08-31
"1909_09_01",6,1909-09-01
"1909_09_02",3,1909-09-02
"1909_09_04",5,1909-09-04
"1909_09_05",2,1909-09-05
"1909_09_06",2,1909-09-06
"1909_09_07",4,1909-09-07
"1909_09_08",6,1909-09-08
"1909_09_09",8,1909-09-09
"1909_09_10",4,1909-09-10
"1909_09_11",3,1909-09-11
"1909_09_12",3,1909-09-12
"1909_09_13",4,1909-09-13
"1909_09_14",2,1909-09-14
"1909_09_15",7,1909-09-15
"1909_09_16",4,1909-09-16
"1909_09_17",5,1909-09-17
"1909_09_18",5,1909-09-18
"1909_09_19",6,1909-09-19
"1909_09_20",7,1909-09-20
"1909_09_21",5,1909-09-21
"1909_09_22",2,1909-09-22
"1909_09_23",3,1909-09-23
"1909_09_24",2,1909-09-24
"1909_09_26",4,1909-09-26
"1909_09_27",5,1909-09-27
"1909_09_28",3,1909-09-28
"1909_09_29",6,1909-09-29
"1909_09_30",3,1909-09-30
"1909_10_01",4,1909-10-01
"1909_10_02",4,1909-10-02
"1909_10_03",5,1909-10-03
"1909_10_04",6,1909-10-04
"1909_10_05",1,1909-10-05
"1909_10_06",1,1909-10-06
"1909_10_07",5,1909-10-07
"1909_10_08",6,1909-10-08
"1909_10_09",2,1909-10-09
"1909_10_10",6,1909-10-10
"1909_10_11",7,1909-10-11
"1909_10_12",5,1909-10-12
"1909_10_13",2,1909-10-13
"1909_10_14",2,1909-10-14
"1909_10_15",4,1909-10-15
"1909_10_16",6,1909-10-16
"1909_10_18",5,1909-10-18
"1909_10_19",2,1909-10-19
"1909_10_20",3,1909-10-20
"1909_10_21",6,1909-10-21
"1909_10_22",4,1909-10-22
"1909_10_23",4,1909-10-23
"1909_10_24",3,1909-10-24
"1909_10_25",3,1909-10-25
"1909_10_26",4,1909-10-26
"1909_10_27",4,1909-10-27
"1909_10_28",3,1909-10-28
"1909_10_29",4,1909-10-29
"1909_10_30",2,1909-10-30
"1909_10_31",2,1909-10-31
"1909_11_01",5,1909-11-01
"1909_11_02",3,1909-11-02
"1909_11_03",5,1909-11-03
"1909_11_04",3,1909-11-04
"1909_11_05",3,1909-11-05
"1909_11_06",5,1909-11-06
"1909_11_07",6,1909-11-07
"1909_11_08",7,1909-11-08
"1909_11_09",3,1909-11-09
"1909_11_10",3,1909-11-10
"1909_11_11",6,1909-11-11
"1909_11_12",5,1909-11-12
"1909_11_13",1,1909-11-13
"1909_11_14",5,1909-11-14
"1909_11_15",1,1909-11-15
"1909_11_16",4,1909-11-16
"1909_11_17",4,1909-11-17
"1909_11_18",4,1909-11-18
"1909_11_19",3,1909-11-19
"1909_11_20",7,1909-11-20
"1909_11_21",3,1909-11-21
"1909_11_22",3,1909-11-22
"1909_11_23",5,1909-11-23
"1909_11_24",2,1909-11-24
"1909_11_25",7,1909-11-25
"1909_11_26",4,1909-11-26
"1909_11_27",3,1909-11-27
"1909_11_28",6,1909-11-28
"1909_11_29",6,1909-11-29
"1909_11_30",4,1909-11-30
"1909_12_01",2,1909-12-01
"1909_12_02",2,1909-12-02
"1909_12_03",4,1909-12-03
"1909_12_04",3,1909-12-04
"1909_12_05",5,1909-12-05
"1909_12_06",2,1909-12-06
"1909_12_07",2,1909-12-07
"1909_12_08",3,1909-12-08
"1909_12_09",6,1909-12-09
"1909_12_10",5,1909-12-10
"1909_12_11",4,1909-12-11
"1909_12_12",5,1909-12-12
"1909_12_13",2,1909-12-13
"1909_12_14",4,1909-12-14
"1909_12_15",3,1909-12-15
"1909_12_16",3,1909-12-16
"1909_12_17",1,1909-12-17
"1909_12_18",1,1909-12-18
"1909_12_19",4,1909-12-19
"1909_12_20",4,1909-12-20
"1909_12_21",3,1909-12-21
"1909_12_22",6,1909-12-22
"1909_12_23",6,1909-12-23
"1909_12_24",4,1909-12-24
"1909_12_25",7,1909-12-25
"1909_12_26",5,1909-12-26
"1909_12_27",1,1909-12-27
"1909_12_28",3,1909-12-28
"1909_12_29",3,1909-12-29
"1909_12_30",2,1909-12-30
"1909_12_31",2,1909-12-31
"1910_01_01",65,1910-01-01
"1910_01_02",14,1910-01-02
"1910_01_03",6,1910-01-03
"1910_01_04",5,1910-01-04
"1910_01_05",5,1910-01-05
"1910_01_06",8,1910-01-06
"1910_01_07",10,1910-01-07
"1910_01_08",7,1910-01-08
"1910_01_09",4,1910-01-09
"1910_01_10",13,1910-01-10
"1910_01_11",6,1910-01-11
"1910_01_12",4,1910-01-12
"1910_01_13",4,1910-01-13
"1910_01_14",8,1910-01-14
"1910_01_15",7,1910-01-15
"1910_01_16",4,1910-01-16
"1910_01_17",6,1910-01-17
"1910_01_18",2,1910-01-18
"1910_01_19",1,1910-01-19
"1910_01_20",6,1910-01-20
"1910_01_21",5,1910-01-21
"1910_01_22",3,1910-01-22
"1910_01_23",10,1910-01-23
"1910_01_24",6,1910-01-24
"1910_01_25",6,1910-01-25
"1910_01_26",3,1910-01-26
"1910_01_27",5,1910-01-27
"1910_01_28",5,1910-01-28
"1910_01_29",4,1910-01-29
"1910_01_30",4,1910-01-30
"1910_01_31",3,1910-01-31
"1910_02_01",9,1910-02-01
"1910_02_02",8,1910-02-02
"1910_02_03",6,1910-02-03
"1910_02_04",6,1910-02-04
"1910_02_05",2,1910-02-05
"1910_02_06",5,1910-02-06
"1910_02_07",5,1910-02-07
"1910_02_08",7,1910-02-08
"1910_02_09",9,1910-02-09
"1910_02_10",6,1910-02-10
"1910_02_11",3,1910-02-11
"1910_02_12",6,1910-02-12
"1910_02_13",3,1910-02-13
"1910_02_14",4,1910-02-14
"1910_02_15",10,1910-02-15
"1910_02_16",4,1910-02-16
"1910_02_17",1,1910-02-17
"1910_02_18",7,1910-02-18
"1910_02_19",6,1910-02-19
"1910_02_20",4,1910-02-20
"1910_02_21",4,1910-02-21
"1910_02_22",7,1910-02-22
"1910_02_23",5,1910-02-23
"1910_02_24",7,1910-02-24
"1910_02_25",5,1910-02-25
"1910_02_26",6,1910-02-26
"1910_02_27",4,1910-02-27
"1910_02_28",7,1910-02-28
"1910_03_01",6,1910-03-01
"1910_03_02",5,1910-03-02
"1910_03_03",11,1910-03-03
"1910_03_04",3,1910-03-04
"1910_03_05",7,1910-03-05
"1910_03_06",4,1910-03-06
"1910_03_07",7,1910-03-07
"1910_03_08",3,1910-03-08
"1910_03_09",4,1910-03-09
"1910_03_10",8,1910-03-10
"1910_03_11",8,1910-03-11
"1910_03_12",3,1910-03-12
"1910_03_13",11,1910-03-13
"1910_03_14",4,1910-03-14
"1910_03_15",9,1910-03-15
"1910_03_16",2,1910-03-16
"1910_03_17",7,1910-03-17
"1910_03_18",6,1910-03-18
"1910_03_19",6,1910-03-19
"1910_03_20",7,1910-03-20
"1910_03_21",4,1910-03-21
"1910_03_22",5,1910-03-22
"1910_03_23",5,1910-03-23
"1910_03_24",6,1910-03-24
"1910_03_25",4,1910-03-25
"1910_03_26",4,1910-03-26
"1910_03_27",2,1910-03-27
"1910_03_28",1,1910-03-28
"1910_03_29",7,1910-03-29
"1910_03_30",5,1910-03-30
"1910_03_31",4,1910-03-31
"1910_04_01",8,1910-04-01
"1910_04_02",7,1910-04-02
"1910_04_03",4,1910-04-03
"1910_04_04",10,1910-04-04
"1910_04_05",5,1910-04-05
"1910_04_06",12,1910-04-06
"1910_04_07",4,1910-04-07
"1910_04_08",5,1910-04-08
"1910_04_09",5,1910-04-09
"1910_04_10",13,1910-04-10
"1910_04_11",9,1910-04-11
"1910_04_12",7,1910-04-12
"1910_04_13",6,1910-04-13
"1910_04_14",5,1910-04-14
"1910_04_15",1,1910-04-15
"1910_04_16",3,1910-04-16
"1910_04_17",2,1910-04-17
"1910_04_18",6,1910-04-18
"1910_04_19",5,1910-04-19
"1910_04_20",6,1910-04-20
"1910_04_21",1,1910-04-21
"1910_04_22",3,1910-04-22
"1910_04_23",4,1910-04-23
"1910_04_24",3,1910-04-24
"1910_04_25",4,1910-04-25
"1910_04_26",3,1910-04-26
"1910_04_27",7,1910-04-27
"1910_04_28",5,1910-04-28
"1910_04_29",4,1910-04-29
"1910_04_30",3,1910-04-30
"1910_05_01",4,1910-05-01
"1910_05_02",14,1910-05-02
"1910_05_03",7,1910-05-03
"1910_05_04",10,1910-05-04
"1910_05_05",3,1910-05-05
"1910_05_06",7,1910-05-06
"1910_05_07",2,1910-05-07
"1910_05_08",2,1910-05-08
"1910_05_09",5,1910-05-09
"1910_05_10",9,1910-05-10
"1910_05_11",6,1910-05-11
"1910_05_12",4,1910-05-12
"1910_05_13",5,1910-05-13
"1910_05_14",3,1910-05-14
"1910_05_15",8,1910-05-15
"1910_05_16",4,1910-05-16
"1910_05_17",6,1910-05-17
"1910_05_18",6,1910-05-18
"1910_05_19",4,1910-05-19
"1910_05_20",7,1910-05-20
"1910_05_21",3,1910-05-21
"1910_05_22",6,1910-05-22
"1910_05_23",4,1910-05-23
"1910_05_24",10,1910-05-24
"1910_05_25",5,1910-05-25
"1910_05_26",5,1910-05-26
"1910_05_27",3,1910-05-27
"1910_05_28",3,1910-05-28
"1910_05_29",6,1910-05-29
"1910_05_30",4,1910-05-30
"1910_05_31",6,1910-05-31
"1910_06_01",5,1910-06-01
"1910_06_02",3,1910-06-02
"1910_06_03",4,1910-06-03
"1910_06_04",8,1910-06-04
"1910_06_05",9,1910-06-05
"1910_06_06",12,1910-06-06
"1910_06_07",6,1910-06-07
"1910_06_08",4,1910-06-08
"1910_06_09",3,1910-06-09
"1910_06_10",9,1910-06-10
"1910_06_11",5,1910-06-11
"1910_06_12",8,1910-06-12
"1910_06_13",12,1910-06-13
"1910_06_14",8,1910-06-14
"1910_06_15",4,1910-06-15
"1910_06_16",2,1910-06-16
"1910_06_17",6,1910-06-17
"1910_06_18",5,1910-06-18
"1910_06_19",1,1910-06-19
"1910_06_20",2,1910-06-20
"1910_06_21",5,1910-06-21
"1910_06_22",3,1910-06-22
"1910_06_23",4,1910-06-23
"1910_06_24",3,1910-06-24
"1910_06_26",1,1910-06-26
"1910_06_27",5,1910-06-27
"1910_06_28",6,1910-06-28
"1910_06_29",6,1910-06-29
"1910_06_30",7,1910-06-30
"1910_07_01",6,1910-07-01
"1910_07_02",4,1910-07-02
"1910_07_03",5,1910-07-03
"1910_07_04",7,1910-07-04
"1910_07_05",7,1910-07-05
"1910_07_06",8,1910-07-06
"1910_07_07",6,1910-07-07
"1910_07_08",6,1910-07-08
"1910_07_09",3,1910-07-09
"1910_07_10",3,1910-07-10
"1910_07_11",6,1910-07-11
"1910_07_12",7,1910-07-12
"1910_07_13",3,1910-07-13
"1910_07_14",6,1910-07-14
"1910_07_15",2,1910-07-15
"1910_07_16",4,1910-07-16
"1910_07_17",6,1910-07-17
"1910_07_18",5,1910-07-18
"1910_07_19",4,1910-07-19
"1910_07_20",3,1910-07-20
"1910_07_21",5,1910-07-21
"1910_07_22",12,1910-07-22
"1910_07_23",6,1910-07-23
"1910_07_24",2,1910-07-24
"1910_07_25",3,1910-07-25
"1910_07_26",7,1910-07-26
"1910_07_27",7,1910-07-27
"1910_07_28",3,1910-07-28
"1910_07_29",9,1910-07-29
"1910_07_30",6,1910-07-30
"1910_07_31",6,1910-07-31
"1910_08_01",9,1910-08-01
"1910_08_02",7,1910-08-02
"1910_08_03",4,1910-08-03
"1910_08_04",11,1910-08-04
"1910_08_05",9,1910-08-05
"1910_08_06",10,1910-08-06
"1910_08_07",7,1910-08-07
"1910_08_08",6,1910-08-08
"1910_08_09",5,1910-08-09
"1910_08_10",9,1910-08-10
"1910_08_11",2,1910-08-11
"1910_08_12",4,1910-08-12
"1910_08_13",3,1910-08-13
"1910_08_14",5,1910-08-14
"1910_08_15",12,1910-08-15
"1910_08_16",6,1910-08-16
"1910_08_17",2,1910-08-17
"1910_08_18",7,1910-08-18
"1910_08_19",5,1910-08-19
"1910_08_20",7,1910-08-20
"1910_08_21",5,1910-08-21
"1910_08_22",5,1910-08-22
"1910_08_23",3,1910-08-23
"1910_08_24",8,1910-08-24
"1910_08_25",7,1910-08-25
"1910_08_26",4,1910-08-26
"1910_08_27",4,1910-08-27
"1910_08_28",5,1910-08-28
"1910_08_29",6,1910-08-29
"1910_08_30",1,1910-08-30
"1910_08_31",4,1910-08-31
"1910_09_01",4,1910-09-01
"1910_09_02",4,1910-09-02
"1910_09_03",9,1910-09-03
"1910_09_04",4,1910-09-04
"1910_09_05",2,1910-09-05
"1910_09_06",6,1910-09-06
"1910_09_07",7,1910-09-07
"1910_09_08",6,1910-09-08
"1910_09_09",8,1910-09-09
"1910_09_10",6,1910-09-10
"1910_09_11",9,1910-09-11
"1910_09_12",6,1910-09-12
"1910_09_13",3,1910-09-13
"1910_09_14",5,1910-09-14
"1910_09_15",8,1910-09-15
"1910_09_16",11,1910-09-16
"1910_09_17",6,1910-09-17
"1910_09_18",3,1910-09-18
"1910_09_19",4,1910-09-19
"1910_09_20",7,1910-09-20
"1910_09_21",11,1910-09-21
"1910_09_22",5,1910-09-22
"1910_09_23",6,1910-09-23
"1910_09_24",5,1910-09-24
"1910_09_25",5,1910-09-25
"1910_09_26",3,1910-09-26
"1910_09_27",3,1910-09-27
"1910_09_28",7,1910-09-28
"1910_09_29",7,1910-09-29
"1910_09_30",8,1910-09-30
"1910_10_01",8,1910-10-01
"1910_10_02",8,1910-10-02
"1910_10_03",7,1910-10-03
"1910_10_04",5,1910-10-04
"1910_10_05",5,1910-10-05
"1910_10_06",4,1910-10-06
"1910_10_07",9,1910-10-07
"1910_10_08",6,1910-10-08
"1910_10_09",6,1910-10-09
"1910_10_10",30,1910-10-10
"1910_10_11",8,1910-10-11
"1910_10_12",8,1910-10-12
"1910_10_13",3,1910-10-13
"1910_10_14",8,1910-10-14
"1910_10_15",6,1910-10-15
"1910_10_16",5,1910-10-16
"1910_10_17",3,1910-10-17
"1910_10_18",1,1910-10-18
"1910_10_19",5,1910-10-19
"1910_10_20",7,1910-10-20
"1910_10_21",1,1910-10-21
"1910_10_22",6,1910-10-22
"1910_10_23",3,1910-10-23
"1910_10_24",6,1910-10-24
"1910_10_25",8,1910-10-25
"1910_10_26",5,1910-10-26
"1910_10_27",6,1910-10-27
"1910_10_28",4,1910-10-28
"1910_10_29",6,1910-10-29
"1910_10_30",4,1910-10-30
"1910_10_31",1,1910-10-31
"1910_11_01",10,1910-11-01
"1910_11_02",9,1910-11-02
"1910_11_03",1,1910-11-03
"1910_11_04",6,1910-11-04
"1910_11_05",11,1910-11-05
"1910_11_06",5,1910-11-06
"1910_11_07",8,1910-11-07
"1910_11_08",2,1910-11-08
"1910_11_09",4,1910-11-09
"1910_11_10",8,1910-11-10
"1910_11_11",11,1910-11-11
"1910_11_12",11,1910-11-12
"1910_11_13",4,1910-11-13
"1910_11_14",9,1910-11-14
"1910_11_15",6,1910-11-15
"1910_11_16",12,1910-11-16
"1910_11_17",8,1910-11-17
"1910_11_18",3,1910-11-18
"1910_11_19",5,1910-11-19
"1910_11_20",6,1910-11-20
"1910_11_21",11,1910-11-21
"1910_11_22",2,1910-11-22
"1910_11_23",6,1910-11-23
"1910_11_24",3,1910-11-24
"1910_11_25",10,1910-11-25
"1910_11_26",3,1910-11-26
"1910_11_27",7,1910-11-27
"1910_11_28",4,1910-11-28
"1910_11_29",3,1910-11-29
"1910_11_30",4,1910-11-30
"1910_12_01",4,1910-12-01
"1910_12_02",4,1910-12-02
"1910_12_03",8,1910-12-03
"1910_12_04",6,1910-12-04
"1910_12_05",6,1910-12-05
"1910_12_06",8,1910-12-06
"1910_12_07",10,1910-12-07
"1910_12_08",5,1910-12-08
"1910_12_09",4,1910-12-09
"1910_12_10",7,1910-12-10
"1910_12_11",9,1910-12-11
"1910_12_12",10,1910-12-12
"1910_12_13",3,1910-12-13
"1910_12_14",2,1910-12-14
"1910_12_15",4,1910-12-15
"1910_12_16",6,1910-12-16
"1910_12_17",3,1910-12-17
"1910_12_18",3,1910-12-18
"1910_12_19",5,1910-12-19
"1910_12_20",5,1910-12-20
"1910_12_21",8,1910-12-21
"1910_12_22",4,1910-12-22
"1910_12_23",3,1910-12-23
"1910_12_24",9,1910-12-24
"1910_12_25",17,1910-12-25
"1910_12_26",4,1910-12-26
"1910_12_27",8,1910-12-27
"1910_12_28",6,1910-12-28
"1910_12_29",4,1910-12-29
"1910_12_30",5,1910-12-30
"1910_12_31",4,1910-12-31
"1911_01_01",28,1911-01-01
"1911_01_02",11,1911-01-02
"1911_01_03",3,1911-01-03
"1911_01_04",7,1911-01-04
"1911_01_05",6,1911-01-05
"1911_01_06",6,1911-01-06
"1911_01_07",4,1911-01-07
"1911_01_08",5,1911-01-08
"1911_01_09",6,1911-01-09
"1911_01_10",8,1911-01-10
"1911_01_11",8,1911-01-11
"1911_01_12",4,1911-01-12
"1911_01_13",5,1911-01-13
"1911_01_14",5,1911-01-14
"1911_01_15",5,1911-01-15
"1911_01_16",2,1911-01-16
"1911_01_17",4,1911-01-17
"1911_01_18",4,1911-01-18
"1911_01_19",5,1911-01-19
"1911_01_20",4,1911-01-20
"1911_01_21",7,1911-01-21
"1911_01_22",3,1911-01-22
"1911_01_23",5,1911-01-23
"1911_01_24",3,1911-01-24
"1911_01_25",1,1911-01-25
"1911_01_26",4,1911-01-26
"1911_01_27",5,1911-01-27
"1911_01_28",3,1911-01-28
"1911_01_29",4,1911-01-29
"1911_01_30",3,1911-01-30
"1911_01_31",5,1911-01-31
"1911_02_01",3,1911-02-01
"1911_02_02",6,1911-02-02
"1911_02_03",4,1911-02-03
"1911_02_04",5,1911-02-04
"1911_02_05",4,1911-02-05
"1911_02_06",4,1911-02-06
"1911_02_07",3,1911-02-07
"1911_02_08",7,1911-02-08
"1911_02_09",9,1911-02-09
"1911_02_10",6,1911-02-10
"1911_02_11",4,1911-02-11
"1911_02_12",7,1911-02-12
"1911_02_13",5,1911-02-13
"1911_02_14",8,1911-02-14
"1911_02_15",5,1911-02-15
"1911_02_16",5,1911-02-16
"1911_02_17",3,1911-02-17
"1911_02_18",3,1911-02-18
"1911_02_19",6,1911-02-19
"1911_02_20",4,1911-02-20
"1911_02_21",2,1911-02-21
"1911_02_22",6,1911-02-22
"1911_02_23",5,1911-02-23
"1911_02_24",4,1911-02-24
"1911_02_25",5,1911-02-25
"1911_02_26",5,1911-02-26
"1911_02_27",8,1911-02-27
"1911_02_28",7,1911-02-28
"1911_03_01",3,1911-03-01
"1911_03_02",4,1911-03-02
"1911_03_03",10,1911-03-03
"1911_03_04",6,1911-03-04
"1911_03_05",4,1911-03-05
"1911_03_06",7,1911-03-06
"1911_03_07",6,1911-03-07
"1911_03_08",8,1911-03-08
"1911_03_09",5,1911-03-09
"1911_03_10",5,1911-03-10
"1911_03_11",8,1911-03-11
"1911_03_12",8,1911-03-12
"1911_03_13",8,1911-03-13
"1911_03_14",13,1911-03-14
"1911_03_15",7,1911-03-15
"1911_03_16",2,1911-03-16
"1911_03_17",5,1911-03-17
"1911_03_18",10,1911-03-18
"1911_03_19",3,1911-03-19
"1911_03_20",3,1911-03-20
"1911_03_21",6,1911-03-21
"1911_03_22",7,1911-03-22
"1911_03_23",6,1911-03-23
"1911_03_24",5,1911-03-24
"1911_03_25",4,1911-03-25
"1911_03_26",2,1911-03-26
"1911_03_27",3,1911-03-27
"1911_03_28",8,1911-03-28
"1911_03_29",5,1911-03-29
"1911_03_30",5,1911-03-30
"1911_03_31",4,1911-03-31
"1911_04_01",7,1911-04-01
"1911_04_02",7,1911-04-02
"1911_04_03",7,1911-04-03
"1911_04_04",7,1911-04-04
"1911_04_05",5,1911-04-05
"1911_04_06",6,1911-04-06
"1911_04_07",2,1911-04-07
"1911_04_08",1,1911-04-08
"1911_04_09",8,1911-04-09
"1911_04_10",7,1911-04-10
"1911_04_11",9,1911-04-11
"1911_04_12",5,1911-04-12
"1911_04_13",4,1911-04-13
"1911_04_14",8,1911-04-14
"1911_04_15",1,1911-04-15
"1911_04_16",5,1911-04-16
"1911_04_17",4,1911-04-17
"1911_04_18",3,1911-04-18
"1911_04_19",1,1911-04-19
"1911_04_20",4,1911-04-20
"1911_04_21",3,1911-04-21
"1911_04_22",4,1911-04-22
"1911_04_23",6,1911-04-23
"1911_04_24",4,1911-04-24
"1911_04_25",3,1911-04-25
"1911_04_26",6,1911-04-26
"1911_04_27",7,1911-04-27
"1911_04_28",3,1911-04-28
"1911_04_29",3,1911-04-29
"1911_04_30",3,1911-04-30
"1911_05_01",4,1911-05-01
"1911_05_02",5,1911-05-02
"1911_05_03",2,1911-05-03
"1911_05_04",6,1911-05-04
"1911_05_05",10,1911-05-05
"1911_05_06",3,1911-05-06
"1911_05_07",3,1911-05-07
"1911_05_08",5,1911-05-08
"1911_05_09",2,1911-05-09
"1911_05_10",3,1911-05-10
"1911_05_11",5,1911-05-11
"1911_05_12",4,1911-05-12
"1911_05_13",3,1911-05-13
"1911_05_14",2,1911-05-14
"1911_05_16",2,1911-05-16
"1911_05_17",2,1911-05-17
"1911_05_18",7,1911-05-18
"1911_05_19",5,1911-05-19
"1911_05_20",3,1911-05-20
"1911_05_21",6,1911-05-21
"1911_05_22",6,1911-05-22
"1911_05_23",8,1911-05-23
"1911_05_24",5,1911-05-24
"1911_05_25",4,1911-05-25
"1911_05_26",2,1911-05-26
"1911_05_27",1,1911-05-27
"1911_05_28",4,1911-05-28
"1911_05_29",2,1911-05-29
"1911_05_30",9,1911-05-30
"1911_05_31",4,1911-05-31
"1911_06_01",7,1911-06-01
"1911_06_02",3,1911-06-02
"1911_06_03",11,1911-06-03
"1911_06_04",4,1911-06-04
"1911_06_05",2,1911-06-05
"1911_06_06",5,1911-06-06
"1911_06_07",3,1911-06-07
"1911_06_08",3,1911-06-08
"1911_06_09",5,1911-06-09
"1911_06_10",7,1911-06-10
"1911_06_11",2,1911-06-11
"1911_06_12",8,1911-06-12
